PtfmSurge,PtfmSway,PtfmHeave,PtfmPitch,PtfmRoll,PtfmYaw,PtfmSurgeVel,PtfmSwayVel,PtfmHeaveVel,PtfmPitchVel,PtfmRollVel,PtfmYawVel
0,0,0,0,0,0,0,0,0,0,0,0
1.576e-06,-7.028e-09,-0.0004903,4.785e-06,2.487e-08,2.562e-09,0.0003152,-1.406e-06,-0.09807,0.0009571,4.974e-06,5.5e-07
0.0007649,1.4e-08,-0.001246,0.0003277,6.508e-08,1.297e-08,0.1843,7.384e-06,-0.02301,0.07663,1.621e-06,1.985e-06
0.003044,9.383e-08,-0.001557,0.001277,1.539e-07,3.614e-08,0.2588,7.404e-06,-0.0513,0.1081,1.956e-05,2.171e-06
0.006168,1.879e-07,-0.002056,0.002581,3.622e-07,8.695e-08,0.3604,1.103e-05,-0.05385,0.1503,2.273e-05,1.07e-05
0.01032,3.253e-07,-0.00257,0.004311,5.653e-07,2.426e-07,0.4659,1.659e-05,-0.05268,0.1939,1.588e-05,2.057e-05
0.01551,5.164e-07,-0.00309,0.006469,7.088e-07,4.914e-07,0.5715,2.188e-05,-0.05152,0.2375,1.128e-05,2.953e-05
0.02175,7.64e-07,-0.003599,0.009062,7.841e-07,8.436e-07,0.677,2.77e-05,-0.05036,0.2811,3.519e-06,4.09e-05
0.02905,1.072e-06,-0.004097,0.01209,7.7e-07,1.318e-06,0.7825,3.39e-05,-0.0492,0.3246,-6.434e-06,5.425e-05
0.0374,1.443e-06,-0.004583,0.01555,6.487e-07,1.935e-06,0.8879,4.04e-05,-0.04804,0.368,-1.799e-05,6.945e-05
0.04681,1.881e-06,-0.005058,0.01945,4.057e-07,2.713e-06,0.9934,4.71e-05,-0.04689,0.4115,-3.079e-05,8.659e-05
0.05727,2.386e-06,-0.005521,0.02378,2.842e-08,3.673e-06,1.099,5.401e-05,-0.04574,0.4549,-4.48e-05,0.0001057
0.06878,2.962e-06,-0.005973,0.02855,-4.944e-07,4.833e-06,1.204,6.111e-05,-0.04459,0.4983,-5.992e-05,0.0001267
0.08135,3.609e-06,-0.006413,0.03375,-1.174e-06,6.213e-06,1.31,6.841e-05,-0.04344,0.5417,-7.614e-05,0.0001497
0.09498,4.33e-06,-0.006842,0.03938,-2.021e-06,7.832e-06,1.415,7.588e-05,-0.0423,0.585,-9.339e-05,0.0001746
0.1097,5.127e-06,-0.007259,0.04545,-3.045e-06,9.71e-06,1.521,8.352e-05,-0.04116,0.6284,-0.0001116,0.0002014
0.1254,6.001e-06,-0.007665,0.05195,-4.257e-06,1.187e-05,1.626,9.132e-05,-0.04003,0.6717,-0.0001309,0.0002302
0.1422,6.954e-06,-0.008059,0.05888,-5.666e-06,1.432e-05,1.731,9.927e-05,-0.0389,0.7149,-0.0001511,0.0002609
0.16,7.987e-06,-0.008443,0.06625,-7.281e-06,1.709e-05,1.837,0.0001074,-0.03777,0.7582,-0.0001721,0.0002936
0.1789,9.102e-06,-0.008815,0.07405,-9.112e-06,2.02e-05,1.942,0.0001156,-0.03665,0.8014,-0.0001942,0.0003282
0.1989,1.03e-05,-0.009176,0.08228,-1.117e-05,2.366e-05,2.048,0.000124,-0.03553,0.8447,-0.0002171,0.0003647
0.2199,1.158e-05,-0.009525,0.09094,-1.346e-05,2.75e-05,2.153,0.0001326,-0.03442,0.8879,-0.0002409,0.0004032
0.2419,1.295e-05,-0.009864,0.1,-1.599e-05,3.173e-05,2.258,0.0001413,-0.03331,0.931,-0.0002653,0.0004435
0.265,1.441e-05,-0.01019,0.1096,-1.877e-05,3.638e-05,2.364,0.00015,-0.03221,0.9742,-0.0002906,0.0004859
0.2892,1.595e-05,-0.01051,0.1195,-2.18e-05,4.146e-05,2.469,0.000159,-0.03111,1.017,-0.0003166,0.0005301
